Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Fare,Seats Available,Rating
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35271,INDRA(A.C. Seater),16:00:00,05h 50m,21:50:00,567,33 Seats available,3.1
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:30:00,05h 55m,22:25:00,720,30 Seats available,4.4
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00:00,05h 50m,22:50:00,720,31 Seats available,3.5
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45:00,05h 52m,23:37:00,720,35 Seats available,4.4
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30:00,06h 00m,00:30:00,720,43 Seats available,3.9
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3613,Super Luxury (Non AC Seater 2+2 Push Back),19:00:00,07h 42m,02:42:00,469,32 Seats available,3.1
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9316,Super Luxury (Non AC Seater 2+2 Push Back),20:20:00,07h 50m,04:10:00,469,30 Seats available,4.1
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30:00,04h 35m,01:05:00,670,44 Seats available,4.2
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9651,Super Luxury (Non AC Seater 2+2 Push Back),21:00:00,07h 41m,04:41:00,469,25 Seats available,3.4
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4046,Super Luxury (Non AC Seater 2+2 Push Back),21:00:00,06h 40m,03:40:00,469,25 Seats available,4.4
