Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Fare,Seats Available,Rating
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10:00,09h 35m,05:45:00,507,21 Seats available,4.5
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,A/C Executive (2+3),21:00:00,11h 15m,08:15:00,622,31 Seats available,3.8
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02:00,09h 28m,06:30:00,892,5 Seats available,4.4
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25:00,09h 20m,06:45:00,507,35 Seats available,3.6
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36:00,07h 54m,05:30:00,867,2 Seats available,3.8
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58:00,09h 17m,07:15:00,507,27 Seats available,3.3
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00:00,09h 30m,07:30:00,892,2 Seats available,4.6
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30:00,08h 00m,06:30:00,867,5 Seats available,3.9
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30:00,09h 45m,08:15:00,507,27 Seats available,4.1
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00:00,08h 50m,07:50:00,892,7 Seats available,4.5
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40:00,09h 25m,09:05:00,507,34 Seats available,4.6
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:25:00,09h 45m,07:10:00,585,27 Seats available,4.5
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30:00,08h 30m,08:00:00,569,35 Seats available,4.4
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,FlixBus,A/C Seater (2+2),23:55:00,08h 40m,08:35:00,814,13 Seats available,4.2
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,AdCity Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:25:00,08h 00m,07:25:00,585,32 Seats available,3.6
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),22:30:00,09h 30m,08:00:00,585,10 Seats available,4.8
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25:00,08h 20m,07:45:00,636,7 Seats available,4.4
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:05:00,09h 20m,07:25:00,658,10 Seats available,4.4
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),22:50:00,08h 50m,07:40:00,570,5 Seats available,4.1
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30:00,08h 00m,06:30:00,673,8 Seats available,3.3
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:30:00,10h 00m,07:30:00,1500,33 Seats available,2
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30:00,09h 00m,06:30:00,1399,22 Seats available,1.7
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,20:00:00,09h 00m,05:00:00,892,17 Seats available,4.5
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00:00,09h 00m,06:00:00,892,17 Seats available,4.6
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 108,A/C Executive (2+3),21:20:00,09h 32m,06:52:00,622,44 Seats available,3.3
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,21:30:00,08h 30m,06:00:00,892,18 Seats available,4.2
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,21:45:00,08h 30m,06:15:00,507,37 Seats available,4.5
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55:00,08h 40m,06:35:00,630,24 Seats available,4.4
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,FlixBus,A/C Seater (2+2),20:00:00,09h 00m,05:00:00,919,17 Seats available,4.5
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00:00,09h 00m,06:00:00,1666,41 Seats available,4.1
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30:00,08h 00m,05:30:00,477,10 Seats available,4.8
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30:00,08h 00m,04:30:00,462,3 Seats available,4.4
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30:00,07h 00m,05:30:00,495,8 Seats available,4
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 759,Himsuta AC Seater Volvo/Scania 2+2,20:00:00,08h 10m,04:10:00,938,25 Seats available,3.9
